Quelle âge avez-vous ?,À quel genre vous identifiez-vous ?,Vous êtes à Bac + ? ,Quel est votre domaine d'étude ?,Quel est la catégorie socioprofessionnelle de votre parent 1 ?,Quel est la catégorie socioprofessionnelle de votre parent 2 ?,Avez-vous déjà eu une première expérience professionnelle ?,Dans quelle mesure êtes-vous d’accord avec la proposition suivante : J’ai une idée précise de mon futur professionnel,"Dans quelle mesure êtes-vous d’accord avec la proposition suivante : Lorsque vous avez commencé vos études, vous n’aviez aucune idée de votre futur
professionnel",Souhaiteriez-vous exercer une activité de façon indépendante ?,"A part le salaire, vos principale attentes portent sur ? Classer vos attentes de 1 (la plus importante) à 3 (la moins importante) [Les valeurs de l'entreprise]","A part le salaire, vos principale attentes portent sur ? Classer vos attentes de 1 (la plus importante) à 3 (la moins importante) [L'ambiance au travail]","A part le salaire, vos principale attentes portent sur ? Classer vos attentes de 1 (la plus importante) à 3 (la moins importante) [La conciliation vie profesionnelle, vie personnelle]","A quelle valeur présente dans les politiques  des entreprises êtes-vous le ou la
plus sensible ? ",A quel type de diversité êtes-vous le ou la plus sensible ?
19,Femme,2,"Sciences et technologies : maths, informatique, biologie…",Employé,Profession intermédiaire,Oui,3,2,Je ne sais pas encore,2,1,3,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
17,Femme,0,"Sciences et technologies : maths, informatique, biologie…",Commerçant et chef d'entreprise,Cadre et profession intellectuelle supérieure,Oui,3,3,"Oui, après quelques années d'expérience dans une entrepise",1,2,1,La justice dans les politiques de rémunération,La diversité dans le recrutement selon la formation
20,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Employé,Sans emploi,Oui,2,3,Je ne sais pas encore,3,2,1,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’origine sociale
21,Femme,2,"Sciences et technologies : maths, informatique, biologie…",Cadre et profession intellectuelle supérieure,Sans emploi,Non,3,2,Je ne sais pas encore,2,1,2,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
18,Femme,1,"Sciences et technologies : maths, informatique, biologie…",Profession intermédiaire,Profession intermédiaire,Oui,3,3,Je ne sais pas encore,3,3,3,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’origine sociale
18,Femme,0,"Sciences et technologies : maths, informatique, biologie…",Employé,Ouvrier,Non,3,4,"Oui, après quelques années d'expérience dans une entrepise",3,2,3,L’attention portée aux normes environnementales (protection de l’environnement naturel),La diversité dans le recrutement selon la formation
,Femme,2,"Sciences et technologies : maths, informatique, biologie…",Cadre et profession intellectuelle supérieure,Employé,Oui,4,4,Non,3,2,1,L’attention portée aux normes environnementales (protection de l’environnement naturel),La diversité dans le recrutement selon le genre
19,Homme,0,"Sciences et technologies : maths, informatique, biologie…",Cadre et profession intellectuelle supérieure,Ouvrier,Oui,3,5,Je ne sais pas encore,3,2,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),
19,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Ouvrier,Sans emploi,Oui,3,3,Je ne sais pas encore,3,2,1,La justice dans les politiques de rémunération,La diversité dans le recrutement selon l’origine sociale
19,Homme,0,"Sciences et technologies : maths, informatique, biologie…",Employé,Sans emploi,Oui,2,5,Je ne sais pas encore,1,3,2,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
19,Homme,1,"Lettres, angues, art : Lettres modernes, lettres anciennes, LVE (Langues Vivantes Etrangères) espagnol (…) histoire de l'art",Commerçant et chef d'entreprise,Artisan,Non,4,1,"Oui, dès la fin de vos études",1,2,3,La justice dans les politiques de rémunération,La diversité dans le recrutement selon l’origine sociale
19,Homme,1,"Sciences et technologies : maths, informatique, biologie…",Cadre et profession intellectuelle supérieure,Sans emploi,Non,3,3,Non,3,2,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
19,Femme,2,"Sciences et technologies : maths, informatique, biologie…",Employé,Sans emploi,Oui,3,1,"Oui, après quelques années d'expérience dans une entrepise",1,3,2,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
20,Femme,2,"Sciences et technologies : maths, informatique, biologie…",Agriculteur exploitant,Commerçant et chef d'entreprise,Oui,5,2,"Oui, après quelques années d'expérience dans une entrepise",3,1,2,La justice dans les politiques de rémunération,La diversité dans le recrutement selon l’origine sociale
23,Femme,3,Communication ,Commerçant et chef d'entreprise,,Oui,1,1,"Oui, après quelques années d'expérience dans une entrepise",3,2,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
,Homme,3,"Sciences et technologies : maths, informatique, biologie…",Ouvrier,Sans emploi,Oui,3,4,"Oui, dès la fin de vos études",3,2,3,La justice dans les politiques de rémunération,La diversité dans le recrutement selon la formation
18,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Cadre et profession intellectuelle supérieure,Cadre et profession intellectuelle supérieure,Non,3,2,Je ne sais pas encore,2,3,1,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon la formation
19,Femme,1,"Sciences et technologies : maths, informatique, biologie…",Profession intermédiaire,Cadre et profession intellectuelle supérieure,Non,2,3,"Oui, après quelques années d'expérience dans une entrepise",1,3,1,L’attention portée aux normes environnementales (protection de l’environnement naturel),La diversité dans le recrutement selon la formation
18,Homme,1,"Sciences et technologies : maths, informatique, biologie…",Cadre et profession intellectuelle supérieure,Profession intermédiaire,Non,3,4,"Oui, après quelques années d'expérience dans une entrepise",2,1,1,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon la formation
23,Femme,1,Arts,Employé,Employé,Oui,5,3,"Oui, après quelques années d'expérience dans une entrepise",3,1,2,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’origine sociale
18,Femme,2,"Sciences et technologies : maths, informatique, biologie…",Profession intermédiaire,Sans emploi,Non,2,1,"Oui, après quelques années d'expérience dans une entrepise",1,2,1,L’attention portée aux normes environnementales (protection de l’environnement naturel),La diversité dans le recrutement selon l’origine sociale
22,Homme,1,Commerce ,Employé,Sans emploi,Oui,1,5,"Oui, après quelques années d'expérience dans une entrepise",3,1,3,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’origine sociale
17,Homme,1,"Lettres, angues, art : Lettres modernes, lettres anciennes, LVE (Langues Vivantes Etrangères) espagnol (…) histoire de l'art",Profession intermédiaire,Commerçant et chef d'entreprise,Oui,2,4,"Oui, dès la fin de vos études",,2,,La justice dans les politiques de rémunération,La diversité dans le recrutement selon la formation
19,Homme,2,Génie civil option bâtiment ,Commerçant et chef d'entreprise,Commerçant et chef d'entreprise,Non,5,5,"Oui, après quelques années d'expérience dans une entrepise",2,3,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
22,Homme,6,Finance quantitative ,Profession intermédiaire,Profession intermédiaire,Oui,5,3,"Oui, après quelques années d'expérience dans une entrepise",2,3,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
20,Homme,3,"Sciences et technologies : maths, informatique, biologie…",Employé,Sans emploi,Non,3,2,Je ne sais pas encore,3,1,2,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
20,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Employé,Sans emploi,Oui,3,3,Je ne sais pas encore,3,2,1,La justice dans les politiques de rémunération,La diversité dans le recrutement selon la formation
19,Femme,2,"Économie et gestion : économie, AES (Administration Economique et Social)…",Commerçant et chef d'entreprise,Cadre et profession intellectuelle supérieure,Oui,2,4,"Oui, après quelques années d'expérience dans une entrepise",2,1,1,L’attention portée aux normes environnementales (protection de l’environnement naturel),La diversité dans le recrutement selon la formation
19,Femme,3,"Droit et sciences politiques : droit, sciences juridiques…",Cadre et profession intellectuelle supérieure,Cadre et profession intellectuelle supérieure,Non,3,4,Non,1,2,3,L’attention portée aux normes environnementales (protection de l’environnement naturel),La diversité dans le recrutement selon l’origine sociale
19,Femme,2,Communication marketing vente,Commerçant et chef d'entreprise,Cadre et profession intellectuelle supérieure,Oui,3,4,"Oui, après quelques années d'expérience dans une entrepise",3,1,2,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
24,Femme,4,"Santé : médecine, pharmacie…",Cadre et profession intellectuelle supérieure,Cadre et profession intellectuelle supérieure,Oui,4,2,"Oui, dès la fin de vos études",3,2,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
19,Homme,2,"Économie et gestion : économie, AES (Administration Economique et Social)…",Commerçant et chef d'entreprise,Profession intermédiaire,Non,2,4,Je ne sais pas encore,1,2,3,L’attention portée aux normes environnementales (protection de l’environnement naturel),La diversité dans le recrutement selon l’origine sociale
19,Hélicoptère moteur v8,2,Agriculture,Cadre et profession intellectuelle supérieure,Commerçant et chef d'entreprise,Oui,3,1,"Oui, après quelques années d'expérience dans une entrepise",2,3,3,La justice dans les politiques de rémunération,La diversité dans le recrutement selon la formation
20,Femme,3,"Sciences et technologies : maths, informatique, biologie…",Artisan,Sans emploi,Non,3,1,"Oui, dès la fin de vos études",1,2,1,L’attention portée aux normes environnementales (protection de l’environnement naturel),La diversité dans le recrutement selon la formation
19,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Cadre et profession intellectuelle supérieure,Cadre et profession intellectuelle supérieure,Oui,4,2,Non,3,3,2,L’attention portée aux normes environnementales (protection de l’environnement naturel),La diversité dans le recrutement selon l’âge
19,Femme,1,"Santé : médecine, pharmacie…",Profession intermédiaire,,Oui,5,5,"Oui, dès la fin de vos études",1,1,1,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’origine sociale
19,Homme ,2,"Économie et gestion : économie, AES (Administration Economique et Social)…",Cadre et profession intellectuelle supérieure,Profession intermédiaire,Oui,2,4,"Oui, après quelques années d'expérience dans une entrepise",2,1,3,L’attention portée aux normes sociétales (conditions de travail « dignes »),
22,Femme,2,"Sciences et technologies : maths, informatique, biologie…",Commerçant et chef d'entreprise,Sans emploi,Oui,2,5,"Oui, après quelques années d'expérience dans une entrepise",3,1,2,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
,Femme,4,"Sciences et technologies : maths, informatique, biologie…",Sans emploi,Commerçant et chef d'entreprise,Non,3,5,"Oui, dès la fin de vos études",3,3,3,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
26,Femme,5,"Sciences et technologies : maths, informatique, biologie…",Employé,Sans emploi,Oui,2,2,Je ne sais pas encore,2,1,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
,Femme,0,"Droit et sciences politiques : droit, sciences juridiques…",Employé,Employé,Oui,3,5,Je ne sais pas encore,2,3,2,L’attention portée aux normes environnementales (protection de l’environnement naturel),La diversité dans le recrutement selon le genre
20,Femme,3,"Sciences et technologies : maths, informatique, biologie…",Commerçant et chef d'entreprise,Employé,Oui,1,5,"Oui, après quelques années d'expérience dans une entrepise",2,3,1,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’origine sociale
19,Femme,2,"Droit et sciences politiques : droit, sciences juridiques…",Cadre et profession intellectuelle supérieure,Cadre et profession intellectuelle supérieure,Oui,2,5,Non,2,3,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
19,Femme,2,"Économie et gestion : économie, AES (Administration Economique et Social)…",Ouvrier,Ouvrier,Oui,4,5,"Oui, après quelques années d'expérience dans une entrepise",2,3,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
19,Femme,0,Design,Cadre et profession intellectuelle supérieure,Employé,Oui,4,5,"Oui, après quelques années d'expérience dans une entrepise",1,2,3,La justice dans les politiques de rémunération,La diversité dans le recrutement selon le genre
20,Homme,1,"Sciences et technologies : maths, informatique, biologie…",Agriculteur exploitant,Cadre et profession intellectuelle supérieure,Oui,4,5,"Oui, après quelques années d'expérience dans une entrepise",1,2,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
19,Femme,2,"Économie et gestion : économie, AES (Administration Economique et Social)…",Sans emploi,Artisan,Non,,5,"Oui, dès la fin de vos études",3,3,2,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’origine sociale
19,Homme,1,"Sciences et technologies : maths, informatique, biologie…",Cadre et profession intellectuelle supérieure,Profession intermédiaire,Non,1,3,"Oui, après quelques années d'expérience dans une entrepise",3,2,1,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon la formation
18,Femme,1,"Santé : médecine, pharmacie…",Employé,Employé,Oui,4,1,Je ne sais pas encore,3,1,1,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’origine sociale
18,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Commerçant et chef d'entreprise,Employé,Oui,3,5,Je ne sais pas encore,1,1,2,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
19,Femme,2,"Sciences et technologies : maths, informatique, biologie…",Employé,Employé,Oui,1,5,Je ne sais pas encore,2,1,1,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon la formation
17,Femme,0,"Droit et sciences politiques : droit, sciences juridiques…",Employé,Employé,Oui,1,5,Je ne sais pas encore,2,3,3,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
19,Femme,1,"Sciences et technologies : maths, informatique, biologie…",Employé,Commerçant et chef d'entreprise,Non,2,5,Je ne sais pas encore,1,1,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
21,Homme,3,"Sciences et technologies : maths, informatique, biologie…",Commerçant et chef d'entreprise,Sans emploi,Oui,2,5,"Oui, après quelques années d'expérience dans une entrepise",2,3,1,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’origine sociale
23,Femme,2,"Sciences et technologies : maths, informatique, biologie…",Artisan,Sans emploi,Oui,5,2,"Oui, après quelques années d'expérience dans une entrepise",1,2,1,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’origine sociale
23,Homme,5,"Sciences et technologies : maths, informatique, biologie…",Commerçant et chef d'entreprise,Sans emploi,Non,4,1,"Oui, après quelques années d'expérience dans une entrepise",2,1,1,La justice dans les politiques de rémunération,La diversité dans le recrutement selon l’origine sociale
20,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Profession intermédiaire,Profession intermédiaire,Oui,3,2,"Oui, après quelques années d'expérience dans une entrepise",2,3,2,La justice dans les politiques de rémunération,La diversité dans le recrutement selon l’origine sociale
17,Femme,2,"Sciences et technologies : maths, informatique, biologie…",Employé,Commerçant et chef d'entreprise,Oui,5,1,"Oui, après quelques années d'expérience dans une entrepise",1,2,3,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’origine sociale
19,Femme,2,"Lettres, angues, art : Lettres modernes, lettres anciennes, LVE (Langues Vivantes Etrangères) espagnol (…) histoire de l'art",Commerçant et chef d'entreprise,Employé,Oui,4,1,Je ne sais pas encore,3,3,3,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’âge
27,Homme,8,"Géotechnique, génie civil",Cadre et profession intellectuelle supérieure,Sans emploi,Oui,3,2,"Oui, après quelques années d'expérience dans une entrepise",3,1,2,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
25,Homme,5,"Sciences et technologies : maths, informatique, biologie…",Employé,Sans emploi,Non,4,4,"Oui, après quelques années d'expérience dans une entrepise",2,3,1,La justice dans les politiques de rémunération,La diversité dans le recrutement selon l’origine sociale
26,Homme,5,"Sciences et technologies : maths, informatique, biologie…",Commerçant et chef d'entreprise,Sans emploi,Oui,4,4,"Oui, après quelques années d'expérience dans une entrepise",3,1,2,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’âge
28,Homme,3,"Sciences humaines et sociales : psychologie, sociologie, ethnologie, histoire, géographie…",Sans emploi,Cadre et profession intellectuelle supérieure,Non,4,2,"Oui, après quelques années d'expérience dans une entrepise",2,3,1,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’origine sociale
19,Homme,0,Plus au études,Ouvrier,Ouvrier,Non,1,3,Non,2,1,3,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon le genre
19,Homme,2,Journalisme ,Ouvrier,Sans emploi,Oui,4,1,Je ne sais pas encore,3,2,1,,La diversité dans le recrutement selon la formation
22,Femme,2,"Sciences et technologies : maths, informatique, biologie…",Employé,Sans emploi,Non,2,3,"Oui, dès la fin de vos études",1,1,2,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
18,Femme,1,"Sciences et technologies : maths, informatique, biologie…",Cadre et profession intellectuelle supérieure,Employé,Non,2,5,"Oui, après quelques années d'expérience dans une entrepise",2,1,2,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon le genre
20,Homme,3,"Sciences et technologies : maths, informatique, biologie…",Profession intermédiaire,Profession intermédiaire,Oui,3,2,Je ne sais pas encore,3,2,1,L’attention portée aux normes environnementales (protection de l’environnement naturel),La diversité dans le recrutement selon la formation
20,Homme,2,Sport,Employé,Employé,Oui,4,5,Je ne sais pas encore,3,2,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’âge
20,Homme,3,"Sciences et technologies : maths, informatique, biologie…",Cadre et profession intellectuelle supérieure,Profession intermédiaire,Oui,2,3,Je ne sais pas encore,2,1,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
19,Homme,3,"Économie et gestion : économie, AES (Administration Economique et Social)…",Cadre et profession intellectuelle supérieure,Sans emploi,Non,4,3,"Oui, après quelques années d'expérience dans une entrepise",3,1,2,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
19,Femme,0,"Sciences et technologies : maths, informatique, biologie…",Sans emploi,Sans emploi,Oui,2,2,Je ne sais pas encore,2,3,1,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon le genre
24,Homme,4,"Droit et sciences politiques : droit, sciences juridiques…",Commerçant et chef d'entreprise,Cadre et profession intellectuelle supérieure,Oui,2,3,"Oui, après quelques années d'expérience dans une entrepise",3,2,1,L’attention portée aux normes environnementales (protection de l’environnement naturel),La diversité dans le recrutement selon la formation
23,Femme,4,"Économie et gestion : économie, AES (Administration Economique et Social)…",Cadre et profession intellectuelle supérieure,Profession intermédiaire,Oui,4,3,Non,2,3,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’âge
22,Homme,3,"Sciences et technologies : maths, informatique, biologie…",Cadre et profession intellectuelle supérieure,Cadre et profession intellectuelle supérieure,Oui,4,3,"Oui, après quelques années d'expérience dans une entrepise",2,2,2,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
,Homme,2,"Droit et sciences politiques : droit, sciences juridiques…",Profession intermédiaire,Profession intermédiaire,Oui,2,1,"Oui, après quelques années d'expérience dans une entrepise",2,2,1,La justice dans les politiques de rémunération,La diversité dans le recrutement selon l’origine sociale
23,Femme,5,Marketing ,Commerçant et chef d'entreprise,Commerçant et chef d'entreprise,Oui,2,3,Je ne sais pas encore,2,3,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
21,Femme,3,Communication et marketing ,Cadre et profession intellectuelle supérieure,Profession intermédiaire,Oui,2,4,Non,2,2,3,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
20,Femme,4,"Droit et sciences politiques : droit, sciences juridiques…",Ouvrier,Ouvrier,Oui,3,5,"Oui, après quelques années d'expérience dans une entrepise",2,3,3,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
,Femme,1,"Lettres, angues, art : Lettres modernes, lettres anciennes, LVE (Langues Vivantes Etrangères) espagnol (…) histoire de l'art",Ouvrier,Sans emploi,Oui,3,5,"Oui, dès la fin de vos études",1,1,1,La justice dans les politiques de rémunération,La diversité dans le recrutement selon l’origine sociale
21,Femme,2,Commerce ,Employé,Ouvrier,Oui,3,5,Je ne sais pas encore,1,1,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
21,Femme,3,"Sciences humaines et sociales : psychologie, sociologie, ethnologie, histoire, géographie…",Cadre et profession intellectuelle supérieure,Sans emploi,Oui,4,3,"Oui, après quelques années d'expérience dans une entrepise",1,2,3,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’origine sociale
19,Femme,2,"Lettres, angues, art : Lettres modernes, lettres anciennes, LVE (Langues Vivantes Etrangères) espagnol (…) histoire de l'art",Cadre et profession intellectuelle supérieure,Profession intermédiaire,Oui,2,2,Je ne sais pas encore,3,2,1,La justice dans les politiques de rémunération,La diversité dans le recrutement selon l’âge
19,Femme,2,maths/santé/informatique,Cadre et profession intellectuelle supérieure,Cadre et profession intellectuelle supérieure,Oui,5,5,Je ne sais pas encore,2,3,1,La justice dans les politiques de rémunération,La diversité dans le recrutement selon l’origine sociale
19,Homme,0,"Sciences et technologies : maths, informatique, biologie…",Cadre et profession intellectuelle supérieure,Employé,Oui,2,5,Je ne sais pas encore,3,2,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
21,Homme,1,Sport,Cadre et profession intellectuelle supérieure,Profession intermédiaire,Oui,3,2,Je ne sais pas encore,2,1,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
21,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Sans emploi,Employé,Oui,3,5,"Oui, après quelques années d'expérience dans une entrepise",1,1,1,L’attention portée aux normes environnementales (protection de l’environnement naturel),La diversité dans le recrutement selon la formation
20,Femme,2,"Lettres, angues, art : Lettres modernes, lettres anciennes, LVE (Langues Vivantes Etrangères) espagnol (…) histoire de l'art",Employé,Sans emploi,Oui,3,3,"Oui, après quelques années d'expérience dans une entrepise",2,1,2,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’origine sociale
23,Homme,2,Design graphique ,Cadre et profession intellectuelle supérieure,Employé,Oui,4,5,"Oui, dès la fin de vos études",2,3,1,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’origine sociale
20,Femme,1,"Droit et sciences politiques : droit, sciences juridiques…",Employé,Sans emploi,Oui,4,2,"Oui, après quelques années d'expérience dans une entrepise",1,2,1,La justice dans les politiques de rémunération,La diversité dans le recrutement selon l’origine sociale
28,Homme,5,"Manegement, marketing et gestion des entreprises ",Commerçant et chef d'entreprise,Employé,Oui,3,5,"Oui, après quelques années d'expérience dans une entrepise",1,1,2,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’origine sociale
21,Homme,4,Comptabilité et Audit ,Ouvrier,Sans emploi,Oui,4,5,"Oui, après quelques années d'expérience dans une entrepise",2,3,1,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’origine sociale
23,Femme,5,"Sciences humaines et sociales : psychologie, sociologie, ethnologie, histoire, géographie…",Commerçant et chef d'entreprise,Employé,Oui,3,2,"Oui, après quelques années d'expérience dans une entrepise",3,1,2,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon l’origine sociale
21,Femme,2,"Économie et gestion : économie, AES (Administration Economique et Social)…",Ouvrier,Sans emploi,Oui,2,1,"Oui, dès la fin de vos études",1,3,3,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
20,Femme,2,"Sciences humaines et sociales : psychologie, sociologie, ethnologie, histoire, géographie…",Employé,Ouvrier,Oui,1,5,Je ne sais pas encore,3,1,2,La justice dans les politiques de rémunération,La diversité dans le recrutement selon l’origine sociale
21,Homme,2,"Sciences humaines et sociales : psychologie, sociologie, ethnologie, histoire, géographie…",Employé,Sans emploi,Oui,4,4,Je ne sais pas encore,3,1,2,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon l’origine sociale
20,Homme,5,"Économie et gestion : économie, AES (Administration Economique et Social)…",Cadre et profession intellectuelle supérieure,Cadre et profession intellectuelle supérieure,Oui,2,5,"Oui, après quelques années d'expérience dans une entrepise",3,2,1,La justice dans les politiques de rémunération,La diversité dans le recrutement selon la formation
20,Homme,4,"Sciences et technologies : maths, informatique, biologie…",Ouvrier,Cadre et profession intellectuelle supérieure,Oui,2,5,Non,3,1,2,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon le genre
23,Homme,3,"Sciences et technologies : maths, informatique, biologie…",Agriculteur exploitant,Employé,Oui,4,5,"Oui, dès la fin de vos études",2,3,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
19,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Commerçant et chef d'entreprise,Cadre et profession intellectuelle supérieure,Oui,3,4,"Oui, après quelques années d'expérience dans une entrepise",2,3,1,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
23,Femme,5,"Sciences humaines et sociales : psychologie, sociologie, ethnologie, histoire, géographie…",Employé,Employé,Oui,2,5,Je ne sais pas encore,3,2,1,"La diversité dans le recrutement (genre, origine sociale, âge, situation de handicap)",La diversité dans le recrutement selon le genre
19,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Employé,Cadre et profession intellectuelle supérieure,Oui,3,4,"Oui, après quelques années d'expérience dans une entrepise",3,3,3,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
20,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Sans emploi,Sans emploi,Oui,2,2,"Oui, dès la fin de vos études",3,2,1,L’attention portée aux normes environnementales (protection de l’environnement naturel),La diversité dans le recrutement selon l’origine sociale
19,Homme,1,"Sciences et technologies : maths, informatique, biologie…",Cadre et profession intellectuelle supérieure,Profession intermédiaire,Non,3,3,"Oui, après quelques années d'expérience dans une entrepise",3,2,3,L’attention portée aux normes sociétales (conditions de travail « dignes »),La diversité dans le recrutement selon la formation
19,Homme,2,"Sciences et technologies : maths, informatique, biologie…",Cadre et profession intellectuelle supérieure,Cadre et profession intellectuelle supérieure,Non,2,1,"Oui, dès la fin de vos études",2,2,1,La justice dans les politiques de rémunération,La diversité dans le recrutement selon l’origine sociale
20,Homme,3,"Sciences et technologies : maths, informatique, biologie…",Cadre et profession intellectuelle supérieure,Cadre et profession intellectuelle supérieure,Oui,3,1,"Oui, après quelques années d'expérience dans une entrepise",1,1,3,La justice dans les politiques de rémunération,La diversité dans le recrutement selon la formation
